,name,type,rating,review_count,price,address,label,dine_in,takeaway,delivery,drive_through,no_del_exp,curb_pickup,postal_code,municipality,neighborhood
403,Pastelaria Benard,pastry,3.8,598.0,2,"R. Garrett 104, 1200-205 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1200-205,Lisboa,Mártires
404,A Tentação,pastry,4.0,235.0,1,"Praça da Figueira 12, 1100-241 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1100-241,Lisboa,Santa Justa
405,PAUL - Rua Augusta,pastry,4.1,651.0,2,"R. Augusta 142, 1100-054 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1100-054,Lisboa,São Nicolau
406,Pâtisserie Dacquoise,pastry,4.5,283.0,2,"R. Tomás da Anunciação 109A, 1350-325 Lisboa, Portugal","['dine-in', 'takeaway', 'delivery']",1,1,1,0,0,0,1350-325,Lisboa,Santo Condestável
407,Cantinho da sé,pastry,3.1,135.0,1,"Largo Santo António da Sé 11, 1100-404 Lisboa, Portugal","['takeaway', 'no delivery']",0,1,0,0,1,0,1100-404,Lisboa,Madalena
408,Saga,pastry,4.4,830.0,2,"Largo da Graça 135, 1170-165 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1170-165,Lisboa,Graça
409,Pau de Canela,pastry,4.1,619.0,2,"R. da Vitória 57, 1100-170 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1100-170,Lisboa,São Nicolau
410,Pastelaria Orion,pastry,4.2,438.0,1,"Calçada do Combro 1, 1200-086 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-086,Lisboa,Encarnação
411,Padaria de São Roque,pastry,4.3,577.0,1,"R. Dom Pedro V 57, 1250-092 Lisboa","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1250-092,Lisboa,Encarnação
412,A Pousadinha (Cais Sodré) - Doçaria Conventual,pastry,4.6,26.0,1,"Rua de S. Paulo 188, 1200-275 Lisboa","['dine-in', 'takeaway']",1,1,0,0,0,0,1200-275,Lisboa,São Paulo
413,Centro Ideal da Graça,pastry,4.4,301.0,1,"Largo da Graça 6, 1170-364 Lisboa, Portugal","['dine-in', 'takeaway']",1,1,0,0,0,0,1170-364,Lisboa,Graça
414,Baga,pastry,4.1,96.0,1,"Largo da Graça, 1170-165 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1170-165,Lisboa,Graça
415,L'Éclair,pastry,4.8,22.0,1,"R. Ribeira Nova 50, 1200-425 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-425,Lisboa,São Paulo
416,Portela,cafe,4.3,127.0,2,"Rua da Graça 164, 1170-364 Lisboa, Portugal","['dine-in', 'delivery']",1,0,1,0,0,0,1170-364,Lisboa,Graça
417,Pastelaria Camões,brunch,4.4,180.0,1,"Rua do Loreto 63 65, 1200-241 Lisboa, Portugal","['dine-in', 'takeaway', 'no delivery']",1,1,0,0,1,0,1200-241,Lisboa,Encarnação
