type_of_food,neighborhood,price,outputs
south_america,Santa Engrácia,4,1.0
indian_nepalese,São José,3,1.0
south_america,Santa Isabel,2,1.0
seafood,Santa Engrácia,3,1.0
pastry,Santa Engrácia,4,1.0
seafood,Santa Engrácia,4,1.0
pastry,Santa Engrácia,3,1.0
indian_nepalese,São José,2,1.0
burger,Santa Engrácia,4,1.0
european,Santa Isabel,2,1.0
bar,Santa Engrácia,3,1.0
bar,Santa Engrácia,4,1.0
mediterranean,Santa Isabel,3,1.0
grill,São José,2,1.0
mexican,São José,3,1.0
africa_me,São José,2,1.0
chicken,Santa Engrácia,4,1.0
indian_nepalese,Santa Engrácia,4,1.0
fast_food,São José,2,1.0
africa_me,Santa Engrácia,4,1.0
pastry,São José,3,1.0
burger,Santa Engrácia,3,1.0
fast_food,São José,3,1.0
japanese,São Domingos de Benfica,3,1.0
mexican,Santa Engrácia,4,1.0
chicken,Santa Isabel,3,1.0
bar,Santa Isabel,2,1.0
portuguese,Socorro,3,1.0
fado,São José,2,1.0
pasta,Santa Engrácia,4,1.0
asian,São José,2,1.0
italian,São José,3,1.0
fado,Sé,3,1.0
japanese,Santa Engrácia,4,1.0
italian,São José,2,1.0
burger,São José,3,1.0
pizza,Santa Engrácia,3,1.0
pizza,Santa Engrácia,4,1.0
bar,Santa Isabel,3,1.0
pizza,Santa Engrácia,2,1.0
burger,São José,2,1.0
italian,Santa Engrácia,4,1.0
italian,Santa Engrácia,3,1.0
portuguese,Santa Engrácia,4,1.0
africa_me,São José,3,1.0
seafood,Madalena,4,1.0
indian_nepalese,Santa Engrácia,3,1.0
bistro,São José,3,1.0
grill,São José,3,1.0
burger,Santa Engrácia,2,1.0
bar,Almargem do Bispo,4,1.0
bistro,Santa Isabel,2,1.0
cafe,Santa Engrácia,4,1.0
seafood,Almargem do Bispo,1,1.0
south_america,São José,2,1.0
seafood,São José,3,1.0
indian_nepalese,Socorro,3,1.0
cafe,São José,3,1.0
fado,Pena,2,1.0
bar,Almargem do Bispo,3,1.0
bistro,Santa Isabel,3,1.0
veggie_healthy,Santa Isabel,2,1.0
seafood,São José,2,1.0
bar,São José,3,1.0
cafe,Santa Isabel,3,1.0
bar,São José,2,1.0
chicken,São José,3,1.0
mediterranean,São Nicolau,1,1.0
mediterranean,Santa Isabel,2,1.0
chicken,São José,2,1.0
fado,Santa Engrácia,4,1.0
seafood,Almargem do Bispo,4,1.0
cafe,Santa Engrácia,3,1.0
south_america,São José,3,1.0
south_america,Almargem do Bispo,3,1.0
bistro,São José,2,1.0
european,Santa Engrácia,3,1.0
european,Santa Engrácia,4,1.0
brunch,São José,2,1.0
veggie_healthy,São José,3,1.0
south_america,Santa Isabel,3,1.0
grill,Socorro,3,1.0
fast_food,Santa Engrácia,4,1.0
cafe,Sacramento,3,1.0
veggie_healthy,Santa Isabel,3,1.0
veggie_healthy,São José,2,1.0
cafe,São José,2,1.0
seafood,Almargem do Bispo,3,1.0
mediterranean,Santa Engrácia,4,1.0
south_america,Almargem do Bispo,1,1.0
south_america,Almargem do Bispo,2,1.0
japanese,Mártires,2,0.8
burger,São Mamede,1,0.8
cafe,São Mamede,3,0.8
european,São Mamede,1,0.8
cafe,São Cristóvão,4,0.8
burger,São Mamede,2,0.8
pizza,Mártires,3,0.8
cafe,São Mamede,2,0.8
mediterranean,São Mamede,3,0.8
european,São Mamede,2,0.8
cafe,São Cristóvão,2,0.8
italian,Mártires,2,0.8
japanese,Mártires,3,0.8
fast_food,Mártires,2,0.8
italian,Mártires,3,0.8
asian,Mártires,2,0.8
burger,Mártires,3,0.8
burger,Mártires,2,0.8
africa_me,Mártires,3,0.8
asian,Mártires,3,0.8
chicken,São Mamede,2,0.8
pastry,Mártires,2,0.8
africa_me,Mártires,2,0.8
pastry,Mártires,3,0.8
mexican,Mártires,3,0.8
mexican,Mártires,1,0.8
mexican,Mártires,2,0.8
pasta,Mártires,2,0.8
european,São Mamede,3,0.8
fast_food,Mártires,3,0.8
pasta,Mártires,3,0.8
fado,Mártires,2,0.8
africa_me,São Mamede,1,0.8
mediterranean,São Mamede,2,0.8
fado,Mártires,1,0.8
mediterranean,São Mamede,1,0.8
fado,Mártires,3,0.8
africa_me,São Mamede,2,0.8
africa_me,São Mamede,3,0.8
mexican,São Mamede,3,0.8
brunch,São Cristóvão,4,0.8
burger,São Cristóvão,4,0.8
chicken,São Mamede,3,0.8
mexican,São Mamede,2,0.8
seafood,São Mamede,2,0.8
fast_food,São Cristóvão,4,0.8
pizza,São Cristóvão,4,0.8
pizza,São Cristóvão,3,0.8
indian_nepalese,São Mamede,1,0.8
indian_nepalese,São Mamede,2,0.8
japanese,São Cristóvão,4,0.8
grill,São Mamede,3,0.8
grill,São Mamede,1,0.8
grill,São Mamede,2,0.8
pastry,São Cristóvão,4,0.8
pasta,São Cristóvão,4,0.8
bistro,São Mamede,3,0.8
mexican,São Cristóvão,2,0.8
pastry,São Cristóvão,2,0.8
asian,São Cristóvão,3,0.8
seafood,São Mamede,3,0.8
mexican,São Cristóvão,4,0.8
asian,São Cristóvão,4,0.8
bistro,São Mamede,2,0.8
south_america,São Mamede,2,0.8
south_america,São Mamede,3,0.8
