,type_of_food,neighborhood,price,outputs
1639,cafe,Coração de Jesus,3,1.0
839,africa_me,Santa Isabel,3,1.0
1644,european,Coração de Jesus,2,1.0
1691,japanese,Coração de Jesus,3,1.0
823,pizza,Santa Isabel,3,1.0
3510,pizza,São Sebastião da Pedreira,4,1.0
3420,pasta,Almargem do Bispo,2,1.0
3436,italian,Almargem do Bispo,2,1.0
1719,pastry,Coração de Jesus,3,1.0
3427,mexican,Almargem do Bispo,3,1.0
3424,mexican,Almargem do Bispo,2,1.0
812,indian_nepalese,Santa Isabel,2,1.0
3421,pasta,Almargem do Bispo,1,1.0
3417,japanese,Almargem do Bispo,1,1.0
3439,italian,Almargem do Bispo,3,1.0
1723,fast_food,Coração de Jesus,3,1.0
2365,pasta,Sé,1,1.0
3411,portuguese,Almargem do Bispo,3,1.0
3410,portuguese,Almargem do Bispo,4,1.0
3409,portuguese,Almargem do Bispo,1,1.0
3408,portuguese,Almargem do Bispo,2,1.0
3437,italian,Almargem do Bispo,1,1.0
1716,pastry,Coração de Jesus,2,1.0
2352,portuguese,Sé,2,1.0
816,portuguese,Santa Isabel,2,1.0
820,pizza,Santa Isabel,2,1.0
819,portuguese,Santa Isabel,3,1.0
2354,portuguese,Sé,4,1.0
1704,burger,Coração de Jesus,2,1.0
1241,fast_food,Pena,1,1.0
1708,italian,Coração de Jesus,2,1.0
1711,italian,Coração de Jesus,3,1.0
3443,asian,Almargem do Bispo,3,1.0
3455,fado,Almargem do Bispo,3,1.0
3453,fado,Almargem do Bispo,1,1.0
3452,fado,Almargem do Bispo,2,1.0
815,indian_nepalese,Santa Isabel,3,1.0
3449,fast_food,Almargem do Bispo,1,1.0
3447,pastry,Almargem do Bispo,3,1.0
86,pastry,Graça,4,1.0
85,pastry,Graça,1,1.0
84,pastry,Graça,2,1.0
32,veggie_healthy,Graça,2,1.0
25,seafood,Graça,1,1.0
26,seafood,Graça,4,1.0
27,seafood,Graça,3,1.0
28,south_america,Graça,2,1.0
29,south_america,Graça,1,1.0
31,south_america,Graça,3,1.0
860,fado,Santa Isabel,2,1.0
23,bar,Graça,3,1.0
34,veggie_healthy,Graça,4,1.0
35,veggie_healthy,Graça,3,1.0
36,bistro,Graça,2,1.0
37,bistro,Graça,1,1.0
1466,seafood,São Vicente de Fora,4,1.0
39,bistro,Graça,3,1.0
24,seafood,Graça,2,1.0
22,bar,Graça,4,1.0
41,grill,Graça,1,1.0
10,mediterranean,Graça,4,1.0
4,cafe,Graça,2,1.0
875,mediterranean,Socorro,3,1.0
6,cafe,Graça,4,1.0
7,cafe,Graça,3,1.0
8,mediterranean,Graça,2,1.0
9,mediterranean,Graça,1,1.0
11,mediterranean,Graça,3,1.0
21,bar,Graça,1,1.0
13,european,Graça,1,1.0
863,fado,Santa Isabel,3,1.0
16,chicken,Graça,2,1.0
17,chicken,Graça,1,1.0
19,chicken,Graça,3,1.0
20,bar,Graça,2,1.0
40,grill,Graça,2,1.0
859,fast_food,Santa Isabel,3,1.0
83,asian,Graça,3,1.0
71,africa_me,Graça,3,1.0
65,mexican,Graça,1,1.0
852,pastry,Santa Isabel,2,1.0
67,mexican,Graça,3,1.0
68,africa_me,Graça,2,1.0
69,africa_me,Graça,1,1.0
851,asian,Santa Isabel,3,1.0
